product_code,product_name_short,es_diferenciado,product_space_cluster_name,reflections_index_z,fitness_index_z,rank_reflections,rank_fitness
2714,"Bitumen and asphalt, natural",Differentiated product,Minerals,-0.9529868528024992,-0.5916798755919589,644,670
2715,Bituminous mixtures,Differentiated product,Minerals,-0.7385400255630933,-0.6645062433340141,596,770
2716,Electrical energy,Undifferentiated product,Minerals,-0.2963782709989561,-0.6383120176306583,494,739
2803,Carbon,Undifferentiated product,Industrial Chemicals and Metals,0.24932503776288412,-0.10537916328993008,359,326
2804,Silicon & rare gases,Undifferentiated product,Industrial Chemicals and Metals,-0.16903641875647388,-0.6297508480574885,465,725
2807,"Sulfiric acid, oleum",Undifferentiated product,Industrial Chemicals and Metals,-0.18518174466405585,-0.3657199994084621,468,455
2809,Phosphoric acid etc.,Undifferentiated product,"Construction, Building, and Home Supplies",-0.522796521559653,-0.188464551703777,541,370
2811,Other inorganic acids,Undifferentiated product,Industrial Chemicals and Metals,0.143508380248288,-0.4634205360731408,394,516
2814,Ammonia,Undifferentiated product,Industrial Chemicals and Metals,-1.0344018436729043,-0.6937251278171851,667,800
2815,Sodium hydroxide,Undifferentiated product,Industrial Chemicals and Metals,0.2193773718507464,-0.5439641287535188,375,610
2818,Aluminum oxide,Undifferentiated product,Industrial Chemicals and Metals,-0.5821880726475632,-0.27091756270712214,556,402
2821,Iron oxides and hydroxides,Undifferentiated product,Industrial Chemicals and Metals,-0.25131530392807394,0.4314701942631653,482,158
2822,Cobalt oxides and hydroxides,Undifferentiated product,Industrial Chemicals and Metals,-1.989983118638523,-0.6615172934805217,803,766
2825,"Metal base oxides, n.e.c.",Undifferentiated product,Industrial Chemicals and Metals,-1.5670466985769111,-0.1100334585301861,774,328
2826,Flourides,Undifferentiated product,Industrial Chemicals and Metals,0.6116107849759055,-0.2196601201991444,255,380
2827,"Chlorides, bromides, iodides etc.",Undifferentiated product,Industrial Chemicals and Metals,0.22143368902525348,-0.16436100730202793,374,363
2833,Sulfates,Undifferentiated product,Industrial Chemicals and Metals,-0.6631873792381839,-0.3764415843438081,582,462
2834,"Nitrites, nitrates",Undifferentiated product,Industrial Chemicals and Metals,-0.4645868505959221,-0.26490817850354004,532,398
2835,Phosphates,Undifferentiated product,Industrial Chemicals and Metals,-0.01697208726400356,-0.35084596651745265,429,447
2836,Carbonates,Undifferentiated product,Industrial Chemicals and Metals,-1.3901093198935204,-0.5308749186383324,748,586
2841,Salts of oxometallic acids,Undifferentiated product,Industrial Chemicals and Metals,3.161555312922042,17.490195849864843,1,1
2843,Compounds of precious metals,Undifferentiated product,Industrial Chemicals and Metals,1.901402342552152,1.8027035028938896,12,22
2844,Uranium,Undifferentiated product,Industrial Chemicals and Metals,-0.5982322878382511,-0.34047958055242594,561,441
2849,Carbides,Undifferentiated product,Industrial Chemicals and Metals,0.1870416859136629,-0.081149797955361,381,318
2901,Acyclic hydrocarbons,Undifferentiated product,Industrial Chemicals and Metals,0.5243812500923515,-0.5290367930253218,281,583
2902,Cyclic hydrocarbons,Undifferentiated product,Industrial Chemicals and Metals,0.6535747423326222,-0.5364330838679006,241,596
2903,Halogenated derivatives of hydrocarbons,Undifferentiated product,Industrial Chemicals and Metals,0.8927793934623299,-0.4967253378931256,174,552
2904,"Sulfonated, nitrated derivatives of hydrocarbons",Undifferentiated product,Industrial Chemicals and Metals,0.21505941836283676,-0.503512662771712,376,562
2905,Acyclic alcohols,Undifferentiated product,Industrial Chemicals and Metals,-0.3236572223263367,-0.714999511514665,498,810
2906,Cyclic alcohols,Undifferentiated product,Industrial Chemicals and Metals,1.239849828041139,0.7124633633903197,94,113
2907,"Phenols, phenol-alcohols",Undifferentiated product,Industrial Chemicals and Metals,1.0577141610080136,-0.04544890299551368,127,299
2909,Ethers,Undifferentiated product,Industrial Chemicals and Metals,-0.32104864860298415,-0.6051050135229799,497,692
2910,Epoxides,Undifferentiated product,Industrial Chemicals and Metals,1.6905184742998345,1.047351799203853,19,68
2912,Aldehydes,Undifferentiated product,Industrial Chemicals and Metals,1.3707899942251862,0.5019862934320173,67,147
2914,Ketones and quinones,Undifferentiated product,Industrial Chemicals and Metals,1.380267504920831,0.34557551587650653,64,183
2915,Saturated acyclic monocarboxylic acids,Undifferentiated product,Industrial Chemicals and Metals,0.9778850063116464,0.38443075752718897,143,171
2916,Unsaturated acyclic monocarboxylic acids,Undifferentiated product,Industrial Chemicals and Metals,1.0590713677636217,-0.05902694586827423,126,304
2917,Polycarboxylic acids,Undifferentiated product,Industrial Chemicals and Metals,0.7381267855482774,0.862591811471007,220,93
2918,Carboxylic acids with additional oxygen function,Undifferentiated product,Industrial Chemicals and Metals,0.8984514159861057,0.2343721123981407,171,213
2920,Esters of other inorganic acids of nonmetals,Undifferentiated product,Industrial Chemicals and Metals,1.671784238702631,1.2583146373280298,21,45
2921,Amine-function compounds,Undifferentiated product,Industrial Chemicals and Metals,1.2768736866431647,0.48726241205667575,85,152
2922,Oxygen-function amino-compounds,Undifferentiated product,Industrial Chemicals and Metals,0.8912222480511226,0.21413508236219345,175,220
2923,Quaternary ammonium salts and hydroxides,Undifferentiated product,Industrial Chemicals and Metals,0.35700392268310954,-0.19813969855044644,334,375
2924,Carboxyamide-function compounds,Undifferentiated product,Industrial Chemicals and Metals,1.5167006080516354,1.0547365203501415,48,66
2925,Carboxyimide-function compounds,Undifferentiated product,Industrial Chemicals and Metals,1.6232741767194376,0.7798522241206002,32,102
2926,Nitrile-function compounds,Undifferentiated product,Industrial Chemicals and Metals,1.7688329140016377,2.6259624162491337,14,12
2929,Isocyanates,Undifferentiated product,Industrial Chemicals and Metals,1.0756251889250217,0.00580054803455639,118,278
2930,Organo-sulfur compounds,Undifferentiated product,Industrial Chemicals and Metals,1.309769985491566,1.241665149634145,80,48
2931,Other organo-inorganic compounds,Undifferentiated product,Industrial Chemicals and Metals,1.9051250003769231,3.5476993158417813,11,7
2932,Heterocyclic compounds with oxygen hetero-atom(s) only,Undifferentiated product,Industrial Chemicals and Metals,0.9888573735110412,0.17020935320888936,139,233
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,Undifferentiated product,Industrial Chemicals and Metals,1.1581998184790157,-0.1770799120811733,106,366
2934,Nucleic acids and their salts,Undifferentiated product,Industrial Chemicals and Metals,1.5948098212800124,1.2031385387171631,34,51
2935,Sulfonamides,Undifferentiated product,Industrial Chemicals and Metals,1.3183862281636496,1.051599473307685,79,67
2936,Vitamins,Undifferentiated product,Industrial Chemicals and Metals,0.7792841591183346,0.1969948363423977,212,224
2937,Hormones,Differentiated product,Industrial Chemicals and Metals,1.0453393917925369,0.41819657755448736,131,164
2939,Vegetable alkaloids,Differentiated product,Industrial Chemicals and Metals,0.4300103275013821,-0.14112410349850155,315,352
2941,Antibiotics,Differentiated product,Industrial Chemicals and Metals,0.9784722781495844,1.0856799839613072,142,61
3001,Heparin for therapeutic use,Differentiated product,Industrial Chemicals and Metals,0.9769162128094993,0.6913234650731868,144,116
3002,Serums and vaccines,Differentiated product,Industrial Chemicals and Metals,1.683530902630843,1.4400691333747992,20,35
3003,"Medicaments, not packaged",Differentiated product,Industrial Chemicals and Metals,0.5568844666652747,-0.24656353310536572,269,392
